CÓDIGO;Semana;Acumulado;PERIODO
DEBE;202333;8;202390
DEBE;202334;8;202390
DEBE;202335;8;202390
DEBE;202336;8;202390
DNEO;202315;1;202390
DNEO;202316;1;202390
DNEO;202317;1;202390
DNEO;202318;1;202390
DNEO;202319;1;202390
DNEO;202320;1;202390
DNEO;202321;1;202390
DNEO;202322;1;202390
DNEO;202323;1;202390
DNEO;202324;1;202390
DNEO;202325;1;202390
DNEO;202326;1;202390
DNEO;202327;1;202390
DNEO;202328;1;202390
DNEO;202329;1;202390
DNEO;202330;5;202390
DNEO;202331;5;202390
DNEO;202332;5;202390
DNEO;202333;7;202390
DNEO;202334;7;202390
DNEO;202335;7;202390
DNEO;202336;8;202390
DSMP;202313;1;202390
DSMP;202314;1;202390
DSMP;202315;3;202390
DSMP;202316;3;202390
DSMP;202317;3;202390
DSMP;202318;3;202390
DSMP;202319;3;202390
DSMP;202320;3;202390
DSMP;202321;3;202390
DSMP;202322;3;202390
DSMP;202323;3;202390
DSMP;202324;3;202390
DSMP;202325;3;202390
DSMP;202326;6;202390
DSMP;202327;7;202390
DSMP;202328;8;202390
DSMP;202329;8;202390
DSMP;202330;8;202390
DSMP;202331;9;202390
DSMP;202332;9;202390
DSMP;202333;10;202390
DSMP;202334;11;202390
DSMP;202335;11;202390
DSMP;202336;13;202390
PEOG;202313;4;202390
PEOG;202314;6;202390
PEOG;202315;8;202390
PEOG;202316;10;202390
PEOG;202317;10;202390
PEOG;202318;11;202390
PEOG;202319;12;202390
PEOG;202320;13;202390
PEOG;202321;17;202390
PEOG;202322;18;202390
PEOG;202323;19;202390
PEOG;202324;20;202390
PEOG;202325;21;202390
PEOG;202326;22;202390
PEOG;202327;24;202390
PEOG;202328;24;202390
PEOG;202329;25;202390
PEOG;202330;25;202390
PEOG;202331;25;202390
PEOG;202332;25;202390
PEOG;202333;25;202390
PEOG;202334;25;202390
PEOG;202335;27;202390
PEOG;202336;28;202390
DIFI;202325;2;202390
DIFI;202326;3;202390
DIFI;202327;3;202390
DIFI;202328;4;202390
DIFI;202329;4;202390
DIFI;202330;4;202390
DIFI;202331;5;202390
DIFI;202332;5;202390
DIFI;202333;5;202390
DIFI;202334;5;202390
DIFI;202335;5;202390
DIFI;202336;5;202390
PFIL;202328;1;202390
PFIL;202329;1;202390
PFIL;202330;1;202390
PFIL;202331;1;202390
PFIL;202332;1;202390
PFIL;202333;1;202390
PFIL;202334;1;202390
PFIL;202335;1;202390
PFIL;202336;1;202390
DHUN;202328;1;202390
DHUN;202329;1;202390
DHUN;202330;1;202390
DHUN;202331;1;202390
DHUN;202332;1;202390
DHUN;202333;1;202390
DHUN;202334;1;202390
DHUN;202335;1;202390
DHUN;202336;1;202390
DGCU;202324;1;202390
DGCU;202325;1;202390
DGCU;202326;1;202390
DGCU;202327;1;202390
DGCU;202328;1;202390
DGCU;202329;1;202390
DGCU;202330;1;202390
DGCU;202331;1;202390
DGCU;202332;1;202390
DGCU;202333;2;202390
DGCU;202334;2;202390
DGCU;202335;2;202390
DGCU;202336;2;202390
DETR;202327;1;202390
DETR;202328;1;202390
DETR;202329;1;202390
DETR;202330;1;202390
DETR;202331;1;202390
DETR;202332;1;202390
DETR;202333;1;202390
DETR;202334;1;202390
DETR;202335;1;202390
DETR;202336;2;202390
DRET;202324;1;202390
DRET;202325;1;202390
DRET;202326;1;202390
DRET;202327;1;202390
DRET;202328;1;202390
DRET;202329;1;202390
DRET;202330;1;202390
DRET;202331;1;202390
DRET;202332;1;202390
DRET;202333;1;202390
DRET;202334;1;202390
DRET;202335;2;202390
DRET;202336;2;202390
CPBD;202336;1;202390
DEST;202324;1;202390
DEST;202325;1;202390
DEST;202326;1;202390
DEST;202327;1;202390
DEST;202328;1;202390
DEST;202329;1;202390
DEST;202330;2;202390
DEST;202331;4;202390
DEST;202332;4;202390
DEST;202333;4;202390
DEST;202334;5;202390
DEST;202335;6;202390
DEST;202336;6;202390
DASD;202334;1;202390
DASD;202335;1;202390
DASD;202336;3;202390
DDEP;202319;1;202390
DDEP;202320;3;202390
DDEP;202321;3;202390
DDEP;202322;3;202390
DDEP;202323;3;202390
DDEP;202324;4;202390
DDEP;202325;5;202390
DDEP;202326;6;202390
DDEP;202327;7;202390
DDEP;202328;7;202390
DDEP;202329;8;202390
DDEP;202330;8;202390
DDEP;202331;8;202390
DDEP;202332;10;202390
DDEP;202333;11;202390
DDEP;202334;11;202390
DDEP;202335;12;202390
DDEP;202336;15;202390
DBCD;202325;16;202390
DBCD;202326;17;202390
DBCD;202327;17;202390
DBCD;202328;17;202390
DBCD;202329;17;202390
DBCD;202330;17;202390
DBCD;202331;17;202390
DBCD;202332;31;202390
DBCD;202333;31;202390
DBCD;202334;36;202390
DBCD;202335;39;202390
DBCD;202336;45;202390
DBDG;202325;2;202390
DBDG;202326;2;202390
DBDG;202327;2;202390
DBDG;202328;2;202390
DBDG;202329;2;202390
DBDG;202330;2;202390
DBDG;202331;2;202390
DBDG;202332;11;202390
DBDG;202333;11;202390
DBDG;202334;11;202390
DBDG;202335;12;202390
DBDG;202336;16;202390
DGLD;202332;1;202390
DGLD;202333;1;202390
DGLD;202334;1;202390
DGLD;202335;1;202390
DGLD;202336;1;202390
CTVV;202336;1;202390
DCKR;202322;1;202390
DCKR;202323;1;202390
DCKR;202324;1;202390
DCKR;202325;2;202390
DCKR;202326;3;202390
DCKR;202327;4;202390
DCKR;202328;4;202390
DCKR;202329;4;202390
DCKR;202330;5;202390
DCKR;202331;6;202390
DCKR;202332;6;202390
DCKR;202333;6;202390
DCKR;202334;7;202390
DCKR;202335;7;202390
DCKR;202336;12;202390
DMEP;202334;1;202390
DMEP;202335;3;202390
DMEP;202336;3;202390
DKAD;202319;2;202390
DKAD;202320;2;202390
DKAD;202321;2;202390
DKAD;202322;4;202390
DKAD;202323;5;202390
DKAD;202324;6;202390
DKAD;202325;7;202390
DKAD;202326;10;202390
